method,normalized_path,classification,documented_name,module,source_file,ui_observed,note
GET,/admin/bonus/review/userinfo,DOCUMENTED_UNVERIFIED,获取用户信息 - felix.bru,other,后台/礼金/获取用户信息 - felix.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/buriedPoint/list,ACTIVE,埋点列表-todo,other,后台/埋点/埋点列表-todo.bru,YES,
GET,/admin/channel/delete,DOCUMENTED_UNVERIFIED,删除渠道-todo,other,后台/运营管理/渠道管理/引流渠道管理/删除渠道-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/channel/dict,ACTIVE,渠道字典,report,后台/报表/渠道字典.bru,YES,
GET,/admin/channel/exchangeRate/list,DOCUMENTED_UNVERIFIED,渠道汇率列表-todo,other,后台/运营管理/推广管理/渠道管理/渠道汇率/渠道汇率列表-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/channel/group/dict,ACTIVE,渠道分组字黄-todo,permission,后台/运营管理/推广管理/渠道管理/渠道分组/渠道分组字黄-todo.bru,YES,
GET,/admin/channel/group/list,ACTIVE,渠道分组列表-todo,permission,后台/运营管理/推广管理/渠道管理/渠道分组/渠道分组列表-todo.bru,YES,
GET,/admin/channel/manage/detail,DOCUMENTED_UNVERIFIED,渠道管理详情-todo,other,后台/运营管理/推广管理/渠道管理/渠道管理详情-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/channel/manage/dict,ACTIVE,渠道管理字典-todo,other,后台/运营管理/推广管理/渠道管理/渠道管理字典-todo.bru,YES,
GET,/admin/channel/manage/export,DOCUMENTED_UNVERIFIED,渠道管理导出-todo,other,后台/运营管理/推广管理/渠道管理/渠道管理导出-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/channel/manage/list,ACTIVE,渠道管理列表-todo,other,后台/运营管理/推广管理/渠道管理/渠道管理列表-todo.bru,YES,
GET,/admin/channel/menus,DOCUMENTED_UNVERIFIED,渠道菜单-todo,other,后台/运营管理/渠道管理/引流渠道管理/渠道菜单-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/channel/promoData/consumption,ACTIVE,推广数据面板消耗详情-todo,promo,后台/运营管理/推广管理/推广数据/推广数据面板消耗详情-todo.bru,YES,
GET,/admin/channel/promoData/detail,DOCUMENTED_UNVERIFIED,推广数据详细-todo,promo,后台/运营管理/推广管理/推广数据/推广数据详细-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/channel/promoData/list,ACTIVE,推广数据列表-todo,promo,后台/运营管理/推广管理/推广数据/推广数据列表-todo.bru,YES,
GET,/admin/channel/promoData/logs,ACTIVE,推广数据日志-todo,promo,后台/运营管理/推广管理/推广数据/推广数据日志-todo.bru,YES,
GET,/admin/channel/promotion/deposit/list,ACTIVE,充值模版列表,finance,后台/渠道推广-充值模版/充值模版列表.bru,YES,
GET,/admin/channel/promotion/domain/list,ACTIVE,列表,promo,后台/渠道推广-域名管理/列表.bru,YES,
GET,/admin/client/version/list,ACTIVE,版本管理列表,other,后台/运营管理/客户端管理/版本号管理/版本管理列表.bru,YES,
GET,/admin/dict/venues,DOCUMENTED_UNVERIFIED,厂商名称字典,report,后台/报表/厂商名称字典.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/domain/delete,DOCUMENTED_UNVERIFIED,删除域名-todo,other,后台/运营管理/渠道管理/域名库管理/删除域名-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/domain/listForSelect,ACTIVE,域名选项列表-todo,other,后台/域名/域名选项列表-todo.bru,YES,
GET,/admin/domain/menus,DOCUMENTED_UNVERIFIED,域名菜单-todo,other,后台/运营管理/渠道管理/域名库管理/域名菜单-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/feedback/category/list,DOCUMENTED_UNVERIFIED,反馈问题分类列表,other,后台/运营管理/会员反馈/问题分类/反馈问题分类列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/feedback/list,DOCUMENTED_UNVERIFIED,反馈列表,other,后台/运营管理/会员反馈/反馈列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/feedback/template/list,DOCUMENTED_UNVERIFIED,反馈问题模版列表,other,后台/运营管理/会员反馈/问题模版/反馈问题模版列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/filcoin/order/export,DOCUMENTED_UNVERIFIED,代币商城订单导出-todo,finance,后台/财务管理/代币商城订单/代币商城订单导出-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/filcoin/order/list,ACTIVE,代币商城订单列表-todo,finance,后台/财务管理/代币商城订单/代币商城订单列表-todo.bru,YES,
GET,/admin/finance/adjust/import/failure/list,DOCUMENTED_UNVERIFIED,批量上下分失败列表,finance,后台/风控管理/上下分记录/批量上下分失败列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/adjust/list,DOCUMENTED_UNVERIFIED,手动上下分列表-wesley,finance,后台/风控管理/上下分记录/手动上下分列表-wesley.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/deposit/manual/success,DOCUMENTED_UNVERIFIED,充值补单-wesley,finance,后台/风控管理/存-提审核/充值补单-wesley.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/deposit/risk/list,DOCUMENTED_UNVERIFIED,充值列表-wesley,finance,后台/风控管理/存-提审核/充值列表-wesley.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/member/wallet,ACTIVE,会员钱包 - wesley,finance,后台/会员列表/会员钱包 - wesley.bru,YES,
GET,/admin/finance/member/wallet/pwd/clear,DOCUMENTED_UNVERIFIED,清空提款密码 -- ducky,finance,后台/会员列表/清空提款密码 -- ducky.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/payment/Delete,DOCUMENTED_UNVERIFIED,x-删除支付渠道-cold,finance,后台/财务管理/支付渠道/x-删除支付渠道-cold.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/payment/bank/list,ACTIVE,银行卡列表,finance,后台/财务管理/银行卡/银行卡列表.bru,YES,
GET,/admin/finance/payment/channel/delete,DOCUMENTED_UNVERIFIED,删除支付渠道通道,finance,后台/财务管理/支付渠道/删除支付渠道通道.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/payment/channel/list,ACTIVE,支付渠道通道列表,finance,后台/财务管理/支付渠道/支付渠道通道列表.bru,YES,
GET,/admin/finance/payment/deposit/channels,ACTIVE,支付渠道列表-cold,finance,后台/财务管理/存款记录/支付渠道列表-cold.bru,YES,
GET,/admin/finance/payment/list,DOCUMENTED_UNVERIFIED,x-支付渠道列表-cold,finance,后台/财务管理/支付渠道/x-支付渠道列表-cold.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/payment/platform/list,ACTIVE,支付平台列表,finance,后台/财务管理/支付渠道/支付平台列表.bru,YES,
GET,/admin/finance/payment/withdraw/channels,ACTIVE,提现渠道列表-cold,finance,合规/财务管理/财务记录/提现渠道列表-cold.bru,YES,
GET,/admin/finance/tokens/transaction/export,DOCUMENTED_UNVERIFIED,代币账变导出,finance,后台/vip代币钱包/代币账变导出.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/tokens/transaction/list,DOCUMENTED_UNVERIFIED,代币账变列表,finance,后台/vip代币钱包/代币账变列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/transaction/types,ACTIVE,账变类型- wesley,finance,后台/财务管理/会员钱包账变/账变类型- wesley.bru,YES,
GET,/admin/finance/turnover/change/list,DOCUMENTED_UNVERIFIED,会员流水-异动记录,finance,后台/会员流水/会员流水-异动记录.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/turnover/change/types,DOCUMENTED_UNVERIFIED,会员流水-异动记录-类型列表,finance,后台/会员流水/会员流水-异动记录-类型列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/turnover/list,DOCUMENTED_UNVERIFIED,会员流水明细,finance,后台/会员流水/会员流水明细.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/withdraw/risk/audit/list,DOCUMENTED_UNVERIFIED,提现审核列表-wesley,finance,后台/风控管理/存-提审核/提现审核列表-wesley.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/finance/withdraws/limit/list,ACTIVE,大量小額提款檢查列表,finance,后台/风控管理/大量小額提款檢查/大量小額提款檢查列表.bru,YES,
GET,/admin/finance/withdraws/limit/state,DOCUMENTED_UNVERIFIED,更新大量小額提款檢查状态,finance,后台/风控管理/大量小額提款檢查/更新大量小額提款檢查状态.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/game/downbox,DOCUMENTED_UNVERIFIED,游戏下拉框-owen,game,后台/game管理/游戏管理/游戏下拉框-owen.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/game/freespins,DOCUMENTED_UNVERIFIED,免费旋转游戏列表,game,后台/game管理/免费旋转游戏列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/game/import/failed/list,DOCUMENTED_UNVERIFIED,游戏导入失败列表,game,后台/game管理/游戏管理/游戏导入失败列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/google/qrcode/info,DOCUMENTED_UNVERIFIED,获取谷歌令牌密钥-seven,other,后台/后台账号管理/获取谷歌令牌密钥-seven.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/google/unbind,DOCUMENTED_UNVERIFIED,谷歌令牌解绑,other,后台/后台账号管理/谷歌令牌解绑.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/google/verify,DOCUMENTED_UNVERIFIED,谷歌令牌验证-seven,other,后台/后台账号管理/谷歌令牌验证-seven.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/group/list,ACTIVE,角色列表 --yasser,permission,后台/系统管理/角色管理/角色列表 --yasser.bru,YES,
GET,/admin/home/section/detail,ACTIVE,详情,other,后台/运营管理/首页板块配置/详情.bru,YES,
GET,/admin/home/section/list,ACTIVE,列表,other,后台/运营管理/首页板块配置/列表.bru,YES,
GET,/admin/hotBetNotice/config/detail,DOCUMENTED_UNVERIFIED,爆彩设置查询,other,后台/爆彩/爆彩设置查询.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/hotBetNotice/displayBlacklist/list,DOCUMENTED_UNVERIFIED,爆彩黑名单列表,other,后台/爆彩/爆彩黑名单列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/hotBetNotice/export,DOCUMENTED_UNVERIFIED,爆彩列表导出,other,后台/爆彩/爆彩列表导出.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/hotBetNotice/list,ACTIVE,爆彩列表查询,other,后台/爆彩/爆彩列表查询.bru,YES,
GET,/admin/kyc/approved/count,ACTIVE,统计每天审核通过数量,kyc,后台/kyc/统计每天审核通过数量.bru,YES,
GET,/admin/kyc/config/info,ACTIVE,获取ekyc相关配置,kyc,后台/kyc/获取ekyc相关配置.bru,YES,
GET,/admin/kyc/detail,ACTIVE,获取 kyc 详情 - double,kyc,后台/kyc/获取 kyc 详情 - double.bru,YES,
GET,/admin/kyc/ekyc/log,DOCUMENTED_UNVERIFIED,异动记录,kyc,后台/kyc/异动记录.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/kyc/pending/count,DOCUMENTED_REACHABLE,获取 kyc 待审批数量,kyc,后台/kyc/获取 kyc 待审批数量.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/log/list,ACTIVE,操作日志,other,代理管理后台/系统/操作日志.bru,YES,
GET,/admin/logout,DOCUMENTED_UNVERIFIED,后台登出-seven,auth,后台/后台账号管理/后台登出-seven.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/mall/goods/detail,DOCUMENTED_UNVERIFIED,产品详情,other,后台/商城管理/产品详情-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/mall/goods/export,DOCUMENTED_UNVERIFIED,产品导出-todo,other,后台/商城管理/产品导出-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/mall/goods/import,DOCUMENTED_UNVERIFIED,产品导入-todo,other,后台/商城管理/产品导入-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/mall/goods/list,ACTIVE,获取产品列表-todo,other,后台/商城管理/获取产品列表-todo.bru,YES,
GET,/admin/mall/order/detail,DOCUMENTED_UNVERIFIED,商城订单详情-todo,other,后台/商城订单记录/商城订单详情-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/mall/order/export,DOCUMENTED_UNVERIFIED,商城订单导出-todo,other,后台/商城订单记录/商城订单导出-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/mall/order/list,ACTIVE,商城订单列表-todo,other,后台/商城订单记录/商城订单列表-todo.bru,YES,
GET,/admin/marquee/list,ACTIVE,列表,other,后台/跑马灯/列表.bru,YES,
GET,/admin/me/detail,ACTIVE,后台账户详情(当前登陆信息)-seven,other,后台/后台账号管理/后台账户详情(当前登陆信息)-seven.bru,YES,
GET,/admin/member/buyfeature/list,DOCUMENTED_UNVERIFIED,会员购买免费旋转记录,member,后台/会员列表/会员购买免费旋转记录.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/member/change/logs,DOCUMENTED_UNVERIFIED,获取会员变更记录,member,后台/会员列表/获取会员变更记录.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/member/deposit/multiple/log,DOCUMENTED_UNVERIFIED,用户充值倍率调整日志列表-aliang,finance,后台/后台账号管理/用户充值倍率调整日志列表-aliang.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/member/detail,ACTIVE,会员详情 - seven/double,member,后台/会员列表/会员详情 - seven-double.bru,YES,
GET,/admin/member/exemption/list,DOCUMENTED_UNVERIFIED,豁免清单列表,member,后台/集成后台参数/接口管理/集成参数/豁免清单列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/member/export,DOCUMENTED_UNVERIFIED,数据导出 - seven/double,member,后台/会员列表/数据导出 - seven-double.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/member/limitation/state/info,DOCUMENTED_UNVERIFIED,会员限制状态列表,member,后台/会员列表/会员限制状态列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/member/list,DOCUMENTED_UNVERIFIED,会员列表 - seven/double,member,后台/会员列表/会员列表 - seven-double.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/member/log/list,DOCUMENTED_UNVERIFIED,会员登录日志-seven,member,后台/后台日志/会员登录日志-seven.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/member/log/listv1,DOCUMENTED_UNVERIFIED,会员登录日志v1,member,后台/后台日志/会员登录日志v1.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/member/risk/log,ACTIVE,风控日志,member,后台/会员列表/风控日志.bru,YES,
GET,/admin/member/vip/level/list,DOCUMENTED_UNVERIFIED,会员vip等级记录,member,后台/Vipv2/会员vip等级记录.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/message/export,DOCUMENTED_UNVERIFIED,站内信导出-todo,other,后台/运营管理/站内信管理/站内信导出-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/message/list,ACTIVE,已阅读名单-todo,other,后台/运营管理/站内信管理/已阅读名单-todo.bru,YES,
GET,/admin/message/templates/export,DOCUMENTED_UNVERIFIED,消息模板导出-todo,other,后台/运营管理/消息模板/消息模板导出-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/message/templates/list,ACTIVE,获取消息模板列表-todo,other,后台/运营管理/消息模板/获取消息模板列表-todo.bru,YES,
GET,/admin/message/user/list,DOCUMENTED_UNVERIFIED,更新用户列表,other,后台/运营管理/消息模板/更新用户列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/notify/audit/alarm,ACTIVE,获取系统通知数量-wesley/owen,other,后台/系统管理/通知中心/获取系统通知数量-wesley-owen.bru,YES,
GET,/admin/ops-tools/first-deposit-no-second/export,DOCUMENTED_UNVERIFIED,首存未二存,finance,后台/运营管理/运营小工具/首存未二存.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/ops-tools/turnover/export,DOCUMENTED_UNVERIFIED,首存导出,other,后台/运营管理/运营小工具/首存导出.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/platform/gametype,DOCUMENTED_UNVERIFIED,获取厂商支持的场馆,game,后台/game管理/厂商管理/获取厂商支持的场馆.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/priv/by/group,ACTIVE,角色权限列表,permission,后台/系统管理/权限管理/角色权限列表.bru,YES,
GET,/admin/priv/check,ACTIVE,权限检查,permission,后台/系统管理/权限管理/权限检查.bru,YES,
GET,/admin/priv/list,ACTIVE,权限列表,permission,后台/系统管理/权限管理/权限列表.bru,YES,
GET,/admin/promo/bonus/export,DOCUMENTED_UNVERIFIED,导出礼金明细 - felix,promo,后台/活动/导出礼金明细 - felix.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/bonus/list,DOCUMENTED_UNVERIFIED,礼金明细 - felix,promo,后台/活动/礼金明细 - felix.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/bti/world/cup/list,DOCUMENTED_UNVERIFIED,freebet活动管理-重新发放,game,后台/game管理/freebet活动管理/freebet活动管理-重新发放.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/cq9/bonus/export,DOCUMENTED_UNVERIFIED,导出礼金明细-seven,promo,后台/活动/cq9返水/导出礼金明细-seven.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/cq9/bonus/list,DOCUMENTED_UNVERIFIED,礼金明细-seven,promo,后台/活动/cq9返水/礼金明细-seven.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/export,DOCUMENTED_UNVERIFIED,导出活动列表 - felix,promo,后台/活动/导出活动列表 - felix.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/free/spin/detail,DOCUMENTED_UNVERIFIED,详情,promo,活动/后台-活动管理/freeSpin/详情.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/free/spin/export,DOCUMENTED_UNVERIFIED,导出,promo,活动/后台-活动管理/freeSpin/导出.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/free/spin/import/export,DOCUMENTED_UNVERIFIED,失败清单下载,promo,活动/后台-活动管理/freeSpin/失败清单下载.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/free/spin/import/fail,DOCUMENTED_UNVERIFIED,失败明细,promo,活动/后台-活动管理/freeSpin/失败明细.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/free/spin/import/log,ACTIVE,fs批量派发记录,promo,活动/后台-活动管理/freeSpin/fs批量派发记录.bru,YES,
GET,/admin/promo/free/spin/list,ACTIVE,列表,promo,活动/后台-活动管理/freeSpin/列表.bru,YES,
GET,/admin/promo/free/spin/synchronous,DOCUMENTED_UNVERIFIED,同步,promo,活动/后台-活动管理/freeSpin/同步.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/invite/base/export,DOCUMENTED_UNVERIFIED,基础奖励数据导出,promo,后台/运营管理/邀请好友/基础奖励数据导出.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/invite/base/list,ACTIVE,邀请基础奖励列表,promo,后台/运营管理/邀请好友/邀请基础奖励列表.bru,YES,
GET,/admin/promo/invite/commission/export,DOCUMENTED_UNVERIFIED,结算佣金奖励导出,promo,后台/运营管理/邀请好友/结算佣金奖励导出.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/invite/commission/list,DOCUMENTED_UNVERIFIED,结算佣金列表,promo,后台/运营管理/邀请好友/结算佣金列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/invite/config/info,DOCUMENTED_UNVERIFIED,获取配置信息,promo,后台/运营管理/邀请好友/获取配置信息.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/invite/friends/transfer/export,DOCUMENTED_UNVERIFIED,好友转线导出,promo,后台/运营管理/邀请好友/好友转线导出.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/invite/friends/transfer/list,ACTIVE,好友转线列表,promo,后台/运营管理/邀请好友/好友转线列表.bru,YES,
GET,/admin/promo/invite/statistics/export,DOCUMENTED_UNVERIFIED,派发佣金统计导出,report,后台/运营管理/邀请好友/派发佣金统计导出.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/invite/statistics/list,DOCUMENTED_UNVERIFIED,派发佣金统计列表,report,后台/运营管理/邀请好友/派发佣金统计列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/invite/upgrade/export,DOCUMENTED_UNVERIFIED,里程碑奖励导出,promo,后台/运营管理/邀请好友/里程碑奖励导出.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/invite/upgrade/list,DOCUMENTED_UNVERIFIED,邀请里程碑奖励列表,promo,后台/运营管理/邀请好友/邀请里程碑奖励列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/list,ACTIVE,活动列表 - felix,promo,后台/活动/活动列表 - felix.bru,YES,
GET,/admin/promo/pt/export,DOCUMENTED_UNVERIFIED,导出,promo,活动/后台-活动管理/pt排行榜/导出.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/pt/list,DOCUMENTED_UNVERIFIED,列表,promo,活动/后台-活动管理/pt排行榜/列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/rebate/rebat/export,DOCUMENTED_UNVERIFIED,返水列表导出,promo,活动/后台-活动管理/投注返水/返水列表导出.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/rebate/rebat/report,DOCUMENTED_UNVERIFIED,返水列表,report,活动/后台-活动管理/投注返水/返水列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/rotate/kyc/export,DOCUMENTED_UNVERIFIED,导出,kyc,活动/后台-活动管理/KYC通过送免费旋转/导出.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/rotate/kyc/list,DOCUMENTED_UNVERIFIED,列表,kyc,活动/后台-活动管理/KYC通过送免费旋转/列表.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/task/all,DOCUMENTED_UNVERIFIED,任务清单(账变)-seven,promo,后台/vip任务中心/任务清单(账变)-seven.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/task/export,DOCUMENTED_UNVERIFIED,任务中心导出-seven,promo,后台/vip任务中心/任务中心导出-seven.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/task/list,DOCUMENTED_UNVERIFIED,任务中心列表-seven,promo,后台/vip任务中心/任务中心列表-seven.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/task/transaction,DOCUMENTED_UNVERIFIED,任务奖金列表-seven,finance,后台/vip任务中心/任务奖金列表-seven.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/task/transaction/export,DOCUMENTED_UNVERIFIED,任务奖励列表导出-seven,finance,后台/vip任务中心/任务奖励列表导出-seven.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/promo/vip/daily/loss/export,DOCUMENTED_UNVERIFIED,每日负盈利活动记录-导出-aliang,promo,后台/Vipv2/每日负盈利活动记录-导出-aliang.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
