top_menu,page_name,page_route,action_name,status,target_reference,target_id,before_state,after_state,side_effect,evidence,reason
Operation Management,Recharge Template,/operations/recharge-template,Add Template,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Operation Management,Recharge Template,/operations/recharge-template,Edit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Client Configuration,/operations/client-config,Add New,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Operation Management,Client Configuration,/operations/client-config,"Online
Offline",BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Client Configuration,/operations/client-config,Edit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Material Management,/operations/material-management,Add,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Operation Management,Material Management,/operations/material-management,Edit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Material Management,/operations/material-management,Delete,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Market Management,/operations/mall-management,Add Product,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Operation Management,Market Management,/operations/mall-management,Edit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Promotion Spend Audit,/operations/activity-expenditure-audit,Manual Reissue,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Ad Tracking/Buried Point,/operations/advertisement-tracking,Add Ad,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Operation Management,Message Templates,/operations/message-templates,Edit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Member station message,/operations/in-site-message,Batch Send,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Operation Management,Member station message,/operations/in-site-message,Cancel,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Marquee Management,/operations/marquee-management,Add Marquee,EXECUTED,codex-fat-marquee-853da059,<redacted-member-id>,absent by unique marker,target absent/not visible,"Created, updated, then deleted current-run marquee",fat-admin-controlled-marquee-flow.json,"Current-run unique marquee was created, located, edited and deleted; exact numeric ID was over-redacted, unique marker retained"
Operation Management,Marquee Management,/operations/marquee-management,"Enabled
Disabled",BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Marquee Management,/operations/marquee-management,Edit,EXECUTED,codex-fat-marquee-853da059,<redacted-member-id>,absent by unique marker,target absent/not visible,"Created, updated, then deleted current-run marquee",fat-admin-controlled-marquee-flow.json,"Current-run unique marquee was created, located, edited and deleted; exact numeric ID was over-redacted, unique marker retained"
Operation Management,Marquee Management,/operations/marquee-management,Delete,EXECUTED,codex-fat-marquee-853da059,<redacted-member-id>,absent by unique marker,target absent/not visible,"Created, updated, then deleted current-run marquee",fat-admin-controlled-marquee-flow.json,"Current-run unique marquee was created, located, edited and deleted; exact numeric ID was over-redacted, unique marker retained"
Operation Management,Home Sections Config,/operations/home-sections,Save draft,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Home Sections Config,/operations/home-sections,Publish,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Home Sections Config,/operations/home-sections,"On
Off",BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Home Sections Config,/operations/home-sections,Edit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Operation Management,Home Sections Config,/operations/home-sections,Add custom section,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Risk Management,Deposit/Withdrawal Approval,/risk-control/dw-audit,Manual Reissue,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Risk Management,Fund Transfer Record,/risk-control/up-down-score,Batch Credit Top-up,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Risk Management,Temporary Restriction List,/risk-control/temporary-restriction-list,Temporary withdrawal limit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Promo Marketing,Channel Management,/promo-marketing/channels,Add,NO_CREATE_REQUEST,codex-fat-scan-20260903-eebb1a,,,,No proven side effect,fat-admin-controlled-channel-group-flow.json,Confirm produced no create request; delayed /admin/game/search events were excluded
Promo Marketing,Channel Management,/promo-marketing/channels,Edit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Promo Marketing,Channel Management,/promo-marketing/channels,Delete,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Promo Marketing,Channel Management,/promo-marketing/channels,Add to Group,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Promo Marketing,Channel Management,/promo-marketing/channels,Set Exchange Rate,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Site Management,Domain Management,/site-management/domain-management,Add Domain,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Game,Venue Management,/gamev2/venue-settings,Add Venue,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Game,Venue Management,/gamev2/venue-settings,Edit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Game,Provider Management,/gamev2/manufacturer-management,Add New Provider,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Game,Provider Management,/gamev2/manufacturer-management,Edit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Game,Game List Management,/gamev2/game-management,Batch Set Game Statu,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Game,Game List Management,/gamev2/game-management,Batch Set Sorting Tags,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Game,Game List Management,/gamev2/game-management,Single new addition,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Game,Game List Management,/gamev2/game-management,Batch addition,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Game,Game List Management,/gamev2/game-management,"Enable
Closed",BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Game,Game List Management,/gamev2/game-management,Edit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Game,FS 派发管理,/gamev2/freespin-grants,Manual Grant,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Game,FS 派发管理,/gamev2/freespin-grants,Batch Grant,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
System,Role Configuration,/system/role,Add New,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
System,Role Configuration,/system/role,Edit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
System,Staff Configuration,/system/staff,Add Staff,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
System,Staff Configuration,/system/staff,Edit,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
System,Staff Configuration,/system/staff,Disable,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
System,Staff Configuration,/system/staff,Reset Password,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
System,Staff Configuration,/system/staff,Reset Google Verification Code,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
System,Whitelist,/whitelist/list,Add IP Pool,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
