method,normalized_path,classification,success_events,failed_events,pages,actions,http_statuses,business_statuses,original_surface,original_module,original_name,original_source_file,evidence
GET,/admin/ad/material/platform/menu,ACTIVE,4,0,/operations/material-management,3 | 4 | Reset | page initialization,200,True,admin,other,素材管理支持的平台枚举,后台/运营管理/客户端管理/素材管理/素材管理支持的平台枚举.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/group/list,ACTIVE,2,0,/system/role | /system/staff,page initialization,200,True,admin,permission,角色列表 --yasser,后台/系统管理/角色管理/角色列表 --yasser.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/home/section/detail,ACTIVE,11,0,/operations/home-sections,page initialization,200,True,admin,other,详情,后台/运营管理/首页板块配置/详情.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/home/section/list,ACTIVE,1,0,/operations/home-sections,page initialization,200,True,admin,other,列表,后台/运营管理/首页板块配置/列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/hotBetNotice/list,ACTIVE,4,0,/operations/jackpot-board,Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,other,爆彩列表查询,后台/爆彩/爆彩列表查询.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/kyc/approved/count,ACTIVE,1,0,/kyc,page initialization,200,True,admin,kyc,统计每天审核通过数量,后台/kyc/统计每天审核通过数量.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/kyc/config/info,ACTIVE,1,0,/kyc,EKYC Config,200,True,admin,kyc,获取ekyc相关配置,后台/kyc/获取ekyc相关配置.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/kyc/detail,ACTIVE,1,0,/member-center/list,View Details,200,True,admin,kyc,获取 kyc 详情 - double,后台/kyc/获取 kyc 详情 - double.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/log/list,ACTIVE,8,0,/logs/list,2 | 3 | 4 | 5 | 6 | Query | Reset | page initialization,200,True,admin,other,操作日志,代理管理后台/系统/操作日志.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/mall/goods/list,ACTIVE,5,0,/operations/mall-management,2 | Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,other,获取产品列表-todo,后台/商城管理/获取产品列表-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/mall/order/list,ACTIVE,1,0,/operations/mall-management,View,200,True,admin,other,商城订单列表-todo,后台/商城订单记录/商城订单列表-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/marquee/list,ACTIVE,7,0,/operations/marquee-management,Apply registered filters via Query | Query | Reset | create | delete | edit | page initialization,200,True,admin,other,列表,后台/跑马灯/列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/me/detail,ACTIVE,58,1,/agency-management/agency-statistical | /game/bet-orders | /gamev2/freespin-grants | /gamev2/freespin-import-logs | /gamev2/game-management | /gamev2/manufacturer-management | /gamev2/venue-settings | /home | /kyc | /logs/list | /member-center/list | /member-management/inviter-transfer-records | /member-management/vip-checkin-log | /member-management/vip-config | /member-management/vip-rewards | /operations/activity-expenditure-audit | /operations/activity-list | /operations/advertisement-tracking | /operations/client-config | /operations/daily-reports | /operations/friend-invite | /operations/home-sections | /operations/in-site-message | /operations/jackpot-board | /operations/mall-management | /operations/marquee-management | /operations/material-management | /operations/message-templates | /operations/ops-tools | /operations/recharge-template | /payment/betting-slip/list | /payment/channel-ordersV2 | /payment/recharge-card-orders/list | /payment/recharge-orders/list | /payment/transaction-orders | /payment/withdraw-orders/list | /promo-marketing/channels | /promo-marketing/effect-evaluation | /promo-marketing/first-deposit-daily-active | /promo-marketing/promotion-data | /promo-marketing/register-daily-active | /promo-marketing/statistical-reports | /report-management/game-platform-report/list | /report-management/game-reports/list | /report-management/game-types-report/list | /report-management/member-daily-game-stats | /report-management/member-daily-stats | /risk-control/dw-audit | /risk-control/risk-logs | /risk-control/temporary-restriction-list | /risk-control/up-down-score | /site-management/domain-management | /system/order-monitor | /system/role | /system/sms-otp | /system/staff | /whitelist/list | login,login flow | page initialization,200,False | True,admin,other,后台账户详情(当前登陆信息)-seven,后台/后台账号管理/后台账户详情(当前登陆信息)-seven.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/member/detail,ACTIVE,1,0,/member-center/list,View Details,200,True,admin,member,会员详情 - seven/double,后台/会员列表/会员详情 - seven-double.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/member/risk/log,ACTIVE,4,0,/risk-control/risk-logs,Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,member,风控日志,后台/会员列表/风控日志.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/message/list,ACTIVE,7,0,/operations/in-site-message,2 | 3 | 4 | Query | Reset | Single Send Record | page initialization,200,True,admin,other,已阅读名单-todo,后台/运营管理/站内信管理/已阅读名单-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/message/reads,UNDOCUMENTED_ACTIVE,1,0,/operations/in-site-message,View,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/message/templates/list,ACTIVE,5,0,/operations/message-templates,2 | Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,other,获取消息模板列表-todo,后台/运营管理/消息模板/获取消息模板列表-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/notify/audit/alarm,ACTIVE,63,0,/agency-management/agency-statistical | /game/bet-orders | /gamev2/freespin-grants | /gamev2/freespin-import-logs | /gamev2/game-management | /gamev2/manufacturer-management | /gamev2/venue-settings | /home | /kyc | /logs/list | /member-center/list | /member-management/inviter-transfer-records | /member-management/vip-checkin-log | /member-management/vip-config | /member-management/vip-rewards | /operations/activity-expenditure-audit | /operations/activity-list | /operations/advertisement-tracking | /operations/client-config | /operations/daily-reports | /operations/friend-invite | /operations/home-sections | /operations/in-site-message | /operations/jackpot-board | /operations/mall-management | /operations/marquee-management | /operations/material-management | /operations/message-templates | /operations/ops-tools | /operations/recharge-template | /payment/betting-slip/list | /payment/channel-ordersV2 | /payment/recharge-card-orders/list | /payment/recharge-orders/list | /payment/transaction-orders | /payment/withdraw-orders/list | /promo-marketing/channels | /promo-marketing/effect-evaluation | /promo-marketing/first-deposit-daily-active | /promo-marketing/promotion-data | /promo-marketing/register-daily-active | /promo-marketing/statistical-reports | /report-management/game-platform-report/list | /report-management/game-reports/list | /report-management/game-types-report/list | /report-management/member-daily-game-stats | /report-management/member-daily-stats | /risk-control/dw-audit | /risk-control/risk-logs | /risk-control/temporary-restriction-list | /risk-control/up-down-score | /site-management/domain-management | /system/order-monitor | /system/role | /system/sms-otp | /system/staff | /whitelist/list | login,Apply registered filters via Query | Query | View | login flow | page initialization,200,True,admin,other,获取系统通知数量-wesley/owen,后台/系统管理/通知中心/获取系统通知数量-wesley-owen.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/priv/by/group,ACTIVE,1,0,/system/role,Permissions,200,True,admin,permission,角色权限列表,后台/系统管理/权限管理/角色权限列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/priv/check,ACTIVE,15,0,/gamev2/freespin-grants | /member-center/list | /operations/marquee-management | /report-management/game-platform-report/list | /report-management/game-reports/list | /report-management/game-types-report/list | /risk-control/up-down-score,View Details | XP Growth Log | page initialization,200,True,admin,permission,权限检查,后台/系统管理/权限管理/权限检查.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/priv/list,ACTIVE,20,0,/system/role,Permissions,200,True,admin,permission,权限列表,后台/系统管理/权限管理/权限列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/promo/flip/card/report,UNDOCUMENTED_ACTIVE,2,0,/operations/activity-list,View Report,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/promo/free/spin/import/log,ACTIVE,1,0,/gamev2/freespin-import-logs,page initialization,200,True,admin,promo,fs批量派发记录,活动/后台-活动管理/freeSpin/fs批量派发记录.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/promo/free/spin/list,ACTIVE,1,0,/gamev2/freespin-grants,page initialization,200,True,admin,promo,列表,活动/后台-活动管理/freeSpin/列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/promo/invite/base/list,ACTIVE,4,0,/operations/friend-invite,Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,promo,邀请基础奖励列表,后台/运营管理/邀请好友/邀请基础奖励列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/promo/invite/friends/transfer/list,ACTIVE,4,0,/member-management/inviter-transfer-records,Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,promo,好友转线列表,后台/运营管理/邀请好友/好友转线列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/promo/list,ACTIVE,7,0,/gamev2/freespin-grants | /operations/activity-list | /operations/client-config,Apply registered filters via Query | Limited-Time Event (Expired) | Query | Reset | page initialization,200,True,admin,promo,活动列表 - felix,后台/活动/活动列表 - felix.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/promo/turntable/reward/give/list,MISCLASSIFIED,1,0,/operations/activity-list,View Give Record,200,True,unknown,report,发放报表,活动/后台-活动管理/大转盘/发放报表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/promo/turntable/reward/goods/list,MISCLASSIFIED,1,0,/operations/activity-list,View Rotation Record,200,True,unknown,promo,大转盘-奖励商品列表,活动/后台-活动管理/大转盘/大转盘-奖励商品列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/promo/turntable/reward/lottery/list,UNDOCUMENTED_ACTIVE,1,0,/operations/activity-list,View Rotation Record,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/promo/vip/log/list,ACTIVE,1,0,/member-management/vip-rewards,page initialization,200,True,admin,promo,奖励表列表-aliang,后台/Vipv2/奖励表列表-aliang.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/promo/vip/sign/in/list,ACTIVE,4,0,/member-management/vip-checkin-log,Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,promo,每日签到列表,后台/Vipv2/每日签到列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/reports/agency,ACTIVE,4,0,/agency-management/agency-statistical,Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,report,代理统计报表,后台/代理管理/代理统计报表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/reports/bi/basic,ACTIVE,5,0,/home | login,Apply registered filters via Search | Reset | Search | login flow | page initialization,200,True,admin,report,首页BI,后台/报表/首页BI.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/reports/bi/chart,UNDOCUMENTED_ACTIVE,2,0,/home | login,login flow | page initialization,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/reports/channel,ACTIVE,4,0,/operations/daily-reports,Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,report,渠道日报表-sandy,后台/报表/渠道报表/渠道日报表-sandy.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/reports/game/node,ACTIVE,7,0,/report-management/game-reports/list,2 | 3 | 4 | Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,game,游戏线路报表,后台/报表/游戏报表/游戏线路报表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/reports/gameclass/node,ACTIVE,6,0,/report-management/game-types-report/list,2 | 3 | Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,game,游戏类型线路报表,后台/报表/游戏类型报表/游戏类型线路报表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/reports/invite,ACTIVE,1,0,/report-management/member-daily-stats,Invite,200,True,admin,report,邀请统计--列表,后台/报表管理/邀请统计--列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/reports/member,ACTIVE,3,0,/report-management/member-daily-stats,page initialization | 查 询 | 重 置,200,True,admin,report,个人统计--列表,后台/报表管理/个人统计--列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/reports/member-daily-game/aggregate,ACTIVE,2,0,/report-management/member-daily-game-stats,page initialization | 查 询,200,True,admin,game,会员每日游戏报表--汇总列表,后台/报表管理/会员每日游戏报表--汇总列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/reports/provider/order/compare/daily,ACTIVE,7,0,/system/order-monitor,2 | 3 | 4 | Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,report,列表,后台/报表/厂商注单对比日报/列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/reports/venue/node,ACTIVE,6,0,/report-management/game-platform-report/list,2 | 3 | Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,game,厂商线路报表,后台/报表/游戏平台报表/厂商线路报表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/shop/gs/list,ACTIVE,1,0,/operations/client-config,Shop Client,200,True,admin,other,门店列表,后台/运营管理/客户端管理/门店客户端/门店列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/sms/conf/list,ACTIVE,1,0,/system/sms-otp,SMS Provider Configuration,200,True,admin,auth,短信配置,后台/短信发送列表/短信配置.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/sms/list,ACTIVE,10,0,/system/sms-otp,15 | 2 | 3 | 4 | 5 | Apply registered filters via Query | Query | Reset | page initialization | •••,200,True,admin,auth,短信列表-seven,后台/短信发送列表/短信列表-seven.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/sys/config/compliance/status,UNDOCUMENTED_ACTIVE,58,0,/agency-management/agency-statistical | /game/bet-orders | /gamev2/freespin-grants | /gamev2/freespin-import-logs | /gamev2/game-management | /gamev2/manufacturer-management | /gamev2/venue-settings | /home | /kyc | /logs/list | /member-center/list | /member-management/inviter-transfer-records | /member-management/vip-checkin-log | /member-management/vip-config | /member-management/vip-rewards | /operations/activity-expenditure-audit | /operations/activity-list | /operations/advertisement-tracking | /operations/client-config | /operations/daily-reports | /operations/friend-invite | /operations/home-sections | /operations/in-site-message | /operations/jackpot-board | /operations/mall-management | /operations/marquee-management | /operations/material-management | /operations/message-templates | /operations/ops-tools | /operations/recharge-template | /payment/betting-slip/list | /payment/channel-ordersV2 | /payment/recharge-card-orders/list | /payment/recharge-orders/list | /payment/transaction-orders | /payment/withdraw-orders/list | /promo-marketing/channels | /promo-marketing/effect-evaluation | /promo-marketing/first-deposit-daily-active | /promo-marketing/promotion-data | /promo-marketing/register-daily-active | /promo-marketing/statistical-reports | /report-management/game-platform-report/list | /report-management/game-reports/list | /report-management/game-types-report/list | /report-management/member-daily-game-stats | /report-management/member-daily-stats | /risk-control/dw-audit | /risk-control/risk-logs | /risk-control/temporary-restriction-list | /risk-control/up-down-score | /site-management/domain-management | /system/order-monitor | /system/role | /system/sms-otp | /system/staff | /whitelist/list | login,login flow | page initialization,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/vip/config/listv2,ACTIVE,1,0,/member-management/vip-config,page initialization,200,True,admin,other,配置列表,后台/Vipv2/配置列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/vip/xp/list,ACTIVE,1,0,/member-center/list,XP Growth Log,200,True,admin,other,xp成长日志 - felix,后台/VIP/xp成长日志 - felix.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/whiteList/list,ACTIVE,4,0,/whitelist/list,Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,other,白名单列表 --yasser,后台/系统管理/白名单管理/白名单列表 --yasser.bru,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/ad/material/list,ACTIVE,7,0,/operations/material-management,2 | 3 | 4 | Apply registered filters via Query | Query | Reset | page initialization,200,None | True,admin,other,素材列表,后台/运营管理/客户端管理/素材管理/素材列表.bru,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/banner/list,ACTIVE,18,0,/operations/client-config,Apply registered filters via Query | Query | Reset | glife1 | glife2 | h5/app Filplay | h5/app Filslots | h5/app Fligame | lazada | maya | page initialization | pagor声明 | 中间banner | 加载页banner | 底部公示 | 站点logo | 自媒体号 | 首页弹窗,200,True,admin,other,轮播图列表,后台/轮播图-首页弹窗/轮播图列表.bru,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/dict/venues,UNDOCUMENTED_ACTIVE,4,0,/report-management/game-platform-report/list | /report-management/game-reports/list | /report-management/game-types-report/list | /system/order-monitor,page initialization,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/finance/adjust/list,ACTIVE,5,0,/risk-control/up-down-score,Apply registered filters via Query | Debit Records | Query | Reset | page initialization,200,True,admin,finance,系统调整,代理管理后台/财务管理/财务报表/系统调整.bru,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/finance/deposit/list,ACTIVE,4,0,/payment/recharge-orders/list,Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,finance,充值列表-wesley,后台/财务管理/存款记录/充值列表-wesley.bru,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/finance/deposit/risk/list,UNDOCUMENTED_ACTIVE,1,0,/risk-control/dw-audit,Deposit Order,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/finance/lazada/order/list,ACTIVE,4,0,/payment/recharge-card-orders/list,Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,finance,lazada-订单列表-owen,后台/财务管理/lazada订单/lazada-订单列表-owen.bru,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/finance/tokens/transaction/list,UNDOCUMENTED_ACTIVE,1,0,/operations/mall-management,oken Transaction Summary,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/finance/transaction/list,ACTIVE,3,0,/payment/transaction-orders,Query | Reset | page initialization,200,True,admin,finance,账变列表- wesley,后台/财务管理/会员钱包账变/账变列表- wesley.bru,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/finance/withdraw/list,ACTIVE,4,0,/payment/withdraw-orders/list,Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,finance,提现列表-wesley,后台/财务管理/提现记录/提现列表-wesley.bru,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/finance/withdraw/risk/audit/list,UNDOCUMENTED_ACTIVE,4,0,/risk-control/dw-audit,Apply registered filters via Query | Query | Reset | page initialization,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/finance/withdraw/risk/list,UNDOCUMENTED_ACTIVE,1,0,/risk-control/dw-audit,Withdrawal Order,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/game/dicttypetag/list,ACTIVE,6,0,/gamev2/game-management | /gamev2/manufacturer-management,Reset | Type Directory / Category Director | page initialization,200,True,admin,game,+获取 <类型标签> 列表-owen,后台/game管理/游戏管理/+获取 -类型标签- 列表-owen.bru,valid stage 2/3 UI Network; see page-action mapping
POST,/admin/game/dictweighttag/list,ACTIVE,3,0,/gamev2/game-management,Reset | Weighted Tag / Directory Maintenance | page initialization,200,True,admin,game,+获取 <权重标签> 列表-owen,后台/game管理/游戏管理/+获取 -权重标签- 列表-owen.bru,valid stage 2/3 UI Network; see page-action mapping
