surface,top_menu,page_name,page_route,control_type,action_name,method,normalized_path,request_fields,parameter_source,http_status,business_status,response_structure,auth_role,side_effect,before_state,after_state,original_category,original_name,original_source_file,classification,currently_used_by_ui,target_ref,evidence,blocked_scope
admin,Member Management,Member Detail,/member-center/detail/{uid},button,General recharge rate → operating record,GET,/admin/member/deposit/multiple/log,page | page_size | uid,uid from current member detail; page/page_size from operation-record modal defaults,200,True,list; count=0; columns=change time|type|before|after|remarks|executor,authenticated FAT admin with member recharge-rate log permission (permission 10016),none; operation history read only,modal closed,empty operation-history table rendered,admin/finance,用户充值倍率调整日志列表-aliang,后台/后台账号管理/用户充值倍率调整日志列表-aliang.bru,ACTIVE,YES,FAT-KYC-REJECT-01,record-flow-member-recharge-rate-controls.json,Runtime UI omitted documented operator_types query parameter; request still succeeded
admin,Member Management,Member Detail,/member-center/detail/{uid},record_write,General recharge rate → Custom / Platform Configuration,POST,/admin/member/deposit/multiple/update,deposit_multiple | deposit_multiple_type | google_code | remark | uid,uid from current member detail; explicit rate-mode selection; bounded one-decimal rate when Custom; controlled remark; runtime approval TOTP,200,True,object; top-level keys=data|status; status=true,authenticated FAT admin with member recharge-rate update permission (permission 10015); approval TOTP,current-run Custom 1.0 state restored to original Platform Configuration 1.5,deposit_multiple=1; deposit_multiple_type=2; platform_deposit_multiple=1.5,deposit_multiple=1.5; deposit_multiple_type=1; platform_deposit_multiple=1.5,admin/finance,用户充值倍率调整-aliang,后台/后台账号管理/用户充值倍率调整-aliang.bru,ACTIVE,YES,FAT-KYC-REJECT-01,record-flow-member-recharge-rate-write-flow.json,Earlier status=false probes used the FAT login fixed code as a business approval code and are invalidated; runtime TOTP restore succeeded
admin,Member Management,Member Detail,/member-center/detail/{uid},tree_data_load,流水要求调整 → open game restriction tree,POST,/admin/gameclass/list,,opening the current member turnover-adjustment modal,200,True,list; count=7; item_keys=en_name|en_name2|game_class|game_count|logo|logo2|maintainer|tg_name|tg_name2|updated_at|weight,authenticated FAT admin with turnover-adjustment visibility,none; tree data loaded only,tree closed,7 categories / 72 category-provider pairs / 5731 games available,admin/game,+查询场馆列表-owen,后台/game管理/场馆管理/+查询场馆列表-owen.bru,ACTIVE,YES,FAT-KYC-REJECT-01,record-flow-member-turnover-game-tree.json,
admin,Member Management,Member Detail,/member-center/detail/{uid},tree_data_load,流水要求调整 → open game restriction tree,POST,/admin/game/search,,opening the current member turnover-adjustment modal,200,True,list; count=5731; item_keys=box_state|compliance|en_name|ex_game_state|game_id|game_type|game_type_name|hot_until|id|is_freespin|is_hot|is_new|logo|logo2|maintained|maintained_et|maintained_st|new_until|pagcor_type_names|platform_id|platform_name|tg_name|type_tag_ids|type_tags|updated_at|updated_name|venue_id|venue_name|weight|weight_sum|weight_tag_ids|weight_tags,authenticated FAT admin with turnover-adjustment visibility,none; tree data loaded only,tree closed,7 categories / 72 category-provider pairs / 5731 games available,admin/game,+游戏列表查询-owen-aliang,后台/game管理/游戏管理/+游戏列表查询-owen-aliang.bru,ACTIVE,YES,FAT-KYC-REJECT-01,record-flow-member-turnover-game-tree.json,
admin,Member Management,Member Detail,/member-center/detail/{uid},button,changed / 转移代理线,,,会员 UID | 当前推荐人 ID | 新推荐人 ID,live state-dependent form controls,,,,authenticated FAT admin,none,,,,,,DOCUMENTED_UNVERIFIED,UI_CONTROL_PRESENT,FAT-MEMBER-REV-01,record-flow-member-reversible-detail-changed-probe.json,Requires a proven current-run new referrer ID and relationship recovery strategy
admin,Member Management,Member Detail,/member-center/detail/{uid},button,Credit or Debit → Credit Top-up,POST,/admin/finance/adjust/insert,action|amount|bet_multiplier|google_code|plats|remark|uid,action=selected Credit Top-up; amount=UI 0.01; bet_multiplier=UI 0; plats=UI All Games; remark=current-run reason; uid=detail route; google_code=runtime approval TOTP,200,True,decoded data string; values not persisted,authenticated FAT admin with member finance permissions,+0.01 member wallet credit,wallet=0,wallet=0.01,admin/finance,添加手动上下分-wesley,后台/风控管理/上下分记录/添加手动上下分-wesley.bru,ACTIVE,YES,FAT-KYC-REJECT-01,record-flow-member-kyc-reject-credit-pair-retry.json; dynamic-fields.json; wallet-recovery.json,Initial submit was blocked before Network until required Turnover Venue/Game Restrictions=All Games was selected; no write occurred on that attempt
admin,Member Management,Member Detail,/member-center/detail/{uid},button,Credit or Debit → Debit Deduction (restore),POST,/admin/finance/adjust/insert,action|amount|google_code|remark|uid,action=selected Debit Deduction; amount=UI 0.01; remark=current-run recovery reason; uid=detail route; google_code=runtime approval TOTP,200,True,decoded data string; values not persisted,authenticated FAT admin with member finance permissions,-0.01 member wallet debit restoring prior credit,wallet=0.01,wallet=0,admin/finance,添加手动上下分-wesley,后台/风控管理/上下分记录/添加手动上下分-wesley.bru,ACTIVE,YES,FAT-KYC-REJECT-01,record-flow-member-kyc-reject-wallet-recovery.json,Debit form correctly omits Credit-only turnover fields
admin,Member Management,Member Detail,/member-center/detail/{uid},button,Credit/Debit Records verification,POST,/admin/finance/adjust/list,,uid from selected detail record; list defaults from UI,200,True,object keys d|s|t; one matching row observed after each write,authenticated FAT admin with member finance permissions,none (read-only log),not queried in this subflow,1 row observed,admin/finance,系统调整,代理管理后台/财务管理/财务报表/系统调整.bru,ACTIVE,YES,FAT-KYC-REJECT-01,credit-pair-retry.json; wallet-recovery.json,A separate inventory entry documents GET for the same path; this UI used POST
admin,Member Management,Member Detail,/member-center/detail/{uid},button,View Token Wallet,POST,/admin/finance/tokens/transaction/list,,uid/current detail context and UI list defaults; request body could not be decoded to fields in this observation,200,False,decoded data string; no rows; response values not persisted,authenticated FAT admin with member finance permissions,none,tokens_balance=0.00000000,unchanged,,,,ACTIVE_FAILED,YES,FAT-KYC-REJECT-01,record-flow-member-kyc-reject-fund-pair-flow.json,HTTP 200 but business=false; stopped Token branch and did not attempt adjustment
admin,Member Management,Member Detail,/member-center/detail/{uid},button,Token Top-Up and Withdrawal,,/admin/finance/tokens/adjust,,"form mapped: adjustment type, token amount, reason, runtime approval TOTP, uid from detail route",,,not observed,authenticated FAT admin with member finance permissions,none,tokens_balance=0.00000000,unchanged,,,,DOCUMENTED_UNVERIFIED,"CONTROL PRESENT, REQUEST NOT TRIGGERED",FAT-KYC-REJECT-01,token form probe; fund-pair-flow.json,"BLOCKED_UPSTREAM_BUSINESS_FAILURE: Token Wallet list returned business=false, so no Top-Up or Withdrawal was attempted"
admin,Member Management,Member Detail,/member-center/detail/{uid},overflow_tab,VIP Level Log,GET,/admin/member/vip/level/list,page|page_size|uid | none,uid=current controlled detail route; pagination=UI defaults,200,true,object keys=d|t; delayed list_count=1,authenticated FAT admin with member VIP visibility,read-only,V0 and no new run log,V1 and one run log,admin/member,会员vip等级记录,后台/Vipv2/会员vip等级记录.bru,ACTIVE,YES,FAT-MEMBER-REV-01,record-flow-member-reversible-vip-adjust-probe.json; record-flow-member-reversible-vip-adjust-final-check.json,Exact DOM overflow-tab activation
admin,Member Management,Member Detail,/member-center/detail/{uid},button,Manual Adjust VIP V0 to V1,POST,/admin/member/vip/level/manual/upgrade,none | remark|target_level|uid,target_level=explicit V1 UI choice; remark=current-run reason; uid=current controlled route,200,true,string,authenticated FAT admin with member VIP adjustment permission,VIP level changed asynchronously from V0 to V1,vip_level=0; vip_manual_level=0,vip_level=1 after 12-second read-only check; vip_manual_level=0,admin/member,会员vip手动升级,后台/Vipv2/会员vip手动升级.bru,ACTIVE,YES,FAT-MEMBER-REV-01,record-flow-member-reversible-vip-adjust-flow.json; record-flow-member-reversible-vip-adjust-final-check.json,Immediate detail read was stale
admin,Member Management,Member Detail,/member-center/detail/{uid},button,Manual Adjust VIP V1 to V0 restore,POST,/admin/member/vip/level/manual/upgrade,none | remark|target_level|uid,target_level=explicit V0 recovery choice; remark=current-run recovery reason; uid=current controlled route,200,true,string,authenticated FAT admin with member VIP adjustment permission,Restored VIP level to exact original baseline,vip_level=1,vip_level=0; vip_manual_level=0,admin/member,会员vip手动升级,后台/Vipv2/会员vip手动升级.bru,ACTIVE,YES,FAT-MEMBER-REV-01,record-flow-member-reversible-vip-adjust-restore.json,Reversible closure complete
admin,Member Management,Member Detail,/member-center/detail/{uid},button,流水要求调整 → 增加 1,POST,/admin/finance/turnover/add,none | amount|bet_multiplier|google_code|plats|remark|uid,amount=1; all-games root; current-run reason; uid=current controlled route; runtime approval TOTP,200,true,status=true; response value not persisted,authenticated FAT admin with turnover adjustment permission,temporary turnover requirement created,left_turnover_count=0,left_turnover_count=1,admin/finance,会员流水-增加,后台/会员流水/会员流水-增加.bru,ACTIVE,YES,FAT-MEMBER-REV-01,record-flow-member-reversible-turnover-adjust-flow.json; record-flow-member-reversible-turnover-db-readonly.json,All-games selection persisted 5731 entries
admin,Member Management,Member Detail,/member-center/detail/{uid},button,流水要求调整 → 扣除 1 restore,POST,/admin/finance/turnover/sub,none | amount|google_code|remark|uid,amount=1; current-run reason; uid=current controlled route; runtime approval TOTP; game field disabled,200,true,status=true; response value not persisted,authenticated FAT admin with turnover adjustment permission,completed temporary requirement and restored baseline,left_turnover_count=1,left_turnover_count=0; DB state=2 turnover=1.00 finished=1.00 locked=0.00,admin/finance,会员流水-扣减,后台/会员流水/会员流水-扣减.bru,ACTIVE,YES,FAT-MEMBER-REV-01,record-flow-member-reversible-turnover-adjust-flow.json; record-flow-member-reversible-turnover-sub-control-probe.json; record-flow-member-reversible-turnover-db-readonly.json,Exact subtract recovery succeeded
admin,Member Management,Member Detail,/member-center/detail/{uid},radio_option,流水要求调整 → 清零,POST,/admin/finance/turnover/clear,none | not_observed,only eligible as recovery for current-run turnover state,not_sent,not_observed,not_observed,authenticated FAT admin with turnover adjustment permission,none,left_turnover_count=0,left_turnover_count=0,admin/finance,会员流水清理-light,后台/会员流水/会员流水清理-light.bru,DOCUMENTED_UNVERIFIED,NO,FAT-MEMBER-REV-01,record-flow-member-reversible-detail-turnover-adjustment-probe.json,Not executed because exact +1/-1 recovery succeeded
admin,KYC,KYC,/kyc,button,Review → Reject Application → OK,POST,/admin/kyc/reject,comment | final | issue | uid,exact current-run pending UID; Reject Application selection; controlled remarks,200,True,data:null,authenticated FAT admin with KYC review permission,KYC rejected,kyc_status=2,kyc_status=3,admin/kyc,kyc 审核驳回 - double,后台/kyc/kyc 审核驳回 - double.bru,ACTIVE,YES,FAT-KYC-REJECT-01,record-flow-kyc-reject-admin.json + sanitized member lane state,
admin,KYC,KYC,/kyc,button,Review → Approve Application → OK,POST,/admin/kyc/approve,comment | uid,exact current-run re-submitted UID; Approve Application selection; controlled remarks,200,True,data:null,authenticated FAT admin with KYC review permission,KYC approved,kyc_status=2 after re-submit,kyc_status=5,admin/kyc,kyc 审核通过 - double,后台/kyc/kyc 审核通过 - double.bru,ACTIVE,YES,FAT-KYC-REJECT-01,record-flow-kyc-resubmit-approve-admin.json + sanitized member lane state,
client,Account,KYC,/s-kyc-v2,button,Re-KYC verification → Submit,POST,/member/oss/upload,,rejected current-run member; controlled KYC form and test images,200,True,data:object,authenticated FAT member,test attachment uploaded,kyc_status=3,attachment ID returned to form runtime,admin/kyc,上传 kyc 相关图片 - double,前台/oss/上传 kyc 相关图片 - double.bru,MISCLASSIFIED,YES,FAT-KYC-REJECT-01,record-flow-kyc-reject-client-resubmit.json,
client,Account,KYC,/s-kyc-v2,button,Re-KYC verification → Submit,POST,/member/oss/upload,,rejected current-run member; controlled KYC form and test images,200,True,data:object,authenticated FAT member,test attachment uploaded,kyc_status=3,attachment ID returned to form runtime,admin/kyc,上传 kyc 相关图片 - double,前台/oss/上传 kyc 相关图片 - double.bru,MISCLASSIFIED,YES,FAT-KYC-REJECT-01,record-flow-kyc-reject-client-resubmit.json,
client,Account,KYC,/s-kyc-v2,button,Re-KYC verification → Submit,POST,/member/oss/upload,,rejected current-run member; controlled KYC form and test images,200,True,data:object,authenticated FAT member,test attachment uploaded,kyc_status=3,attachment ID returned to form runtime,admin/kyc,上传 kyc 相关图片 - double,前台/oss/上传 kyc 相关图片 - double.bru,MISCLASSIFIED,YES,FAT-KYC-REJECT-01,record-flow-kyc-reject-client-resubmit.json,
client,Account,KYC,/s-kyc-v2,button,Re-KYC verification → Submit,POST,/member/kyc/v2/insert,attachments | birthday | country_code | current_address | first_name | gender | id_type | last_name | middle_name | nationality | nature_of_work | nearest_branch | occupation | permanent_address | phone | place_of_birth | shop_id | signature_id | source_of_income | user_message,rejected current-run member; controlled KYC form and test images,200,True,data:null,authenticated FAT member,KYC re-submitted,kyc_status=3,kyc_status=2,client/kyc,提交 kyc v2 -- double/cold/owen,前台/kyc/v2/insert.bru,ACTIVE,YES,FAT-KYC-REJECT-01,record-flow-kyc-reject-client-resubmit.json,
