"scenario_id","priority","flow_stage","flow_stage_label","polarity","scenario_name","api_scope","endpoints_or_assets","precondition","test_data","steps","expected_assertions","automation_status","notes"
"MF-038","P0","07_related_data_check","以上相关数据检查","positive","查询账变和账变类型成功","client","/finance/transaction/list；/finance/transaction/types","已登录会员","正常会员","请求账变列表和账变类型","HTTP 200；status=true；列表结构稳定；类型字典可用","implemented","对应当前 TC-012、TC-013"
"MF-039","P0","07_related_data_check","以上相关数据检查","positive","查询会员基础信息和 VIP 信息成功","client","/member/detail；/member/vip/level/detail；/promo/vip/config；/promo/vip/sign/in/config","已登录会员","正常会员","请求会员、VIP、活动配置","HTTP 200；status=true；关键字段存在","implemented","对应当前 TC-015 到 TC-018"
"MF-040","P0","07_related_data_check","以上相关数据检查","negative","旧 VIP 接口业务失败时不能判定为通过","client","/member/vip","已登录会员","正常会员","请求旧 VIP 接口","HTTP 200 但业务 status=false 时，测试必须失败并提示使用新版 promo/vip 接口","implemented_negative","已由 P0 API 反例 runner 覆盖"
"MF-041","P0","07_related_data_check","以上相关数据检查","negative","钱包响应缺少关键字段必须失败","client","/finance/wallet","已登录会员","模拟或捕获缺少 uid、balance、withdrawable、locked 的响应","请求钱包并执行字段断言","断言失败；报告明确缺失字段","implemented_assertion","由 test-cases.csv 的 keys 断言机制覆盖；钱包用例 TC-017 已断言 uid、balance、withdrawable、locked"
"MF-042","P0","08_admin_report_approval","后台报表展示和审批","positive","后台登录成功","admin","后台登录接口","FAT 后台账号和 Google code 从环境变量注入","后台账号、密码、Google code","提交后台登录；保存 admin token","HTTP 200；响应可解码；业务成功；返回 admin token 或 session","implemented_as_setup","后台登录已验证可用，尚未纳入 P0 普通用例集"
"MF-043","P0","08_admin_report_approval","后台报表展示和审批","positive","后台查询充值、提现、账变报表成功","admin","后台 finance/report/list 类接口","后台已登录；具备报表权限","合法时间范围、会员账号或订单号","查询充值报表；查询提现报表；查询账变报表","HTTP 200；业务成功；列表结构稳定；汇总字段存在","candidate","下一批 P0 应优先从后台只读报表开始"
"MF-044","P0","08_admin_report_approval","后台报表展示和审批","positive","后台查询 KYC 或提现待审批列表成功","admin","后台 KYC/withdraw approval list/detail 接口","后台已登录；具备审批权限","合法筛选条件","查询待审批列表；查询详情","HTTP 200；业务成功；列表和详情结构稳定","candidate","只读查询可以先自动化，审批动作暂不自动执行"
"MF-045","P0","08_admin_report_approval","后台报表展示和审批","negative","后台未登录或权限不足不能访问报表","admin","后台报表接口","无 admin token 或低权限账号","无效 token 或低权限账号","请求后台报表","HTTP 401/403 或业务 status=false；不能返回报表数据","implemented_negative","已由 P0 API 反例 runner 覆盖无效后台 token"
"MF-046","P0","08_admin_report_approval","后台报表展示和审批","negative","审批通过、拒绝接口不自动执行","admin","后台 approve/reject 接口","存在待审批单","待审批充值、提现或 KYC 单","尝试审批动作前先检查接口分类","自动化框架应跳过；报告标记 manual_review 或 do_not_auto_run_yet","do_not_auto_run_yet","审批会改变业务状态，必须等专用测试数据和回滚策略"
"MF-047","P0","08_admin_report_approval","后台报表展示和审批","negative","后台报表非法时间范围不导致 5xx","admin","后台报表接口","后台已登录","开始时间大于结束时间、超大分页、非法状态","请求报表","接口不报 5xx；返回参数错误或稳定空结果","implemented_negative","已由 P0 API 反例 runner 覆盖"
"MF-048","P0","06_withdraw","提现","positive","查询提款账户列表成功","client","/finance/account/list","已登录会员","正常会员","请求提款账户列表","HTTP 200；status=true；data 为列表；账户字段结构稳定","implemented","已通过 FAT 调试，可执行用例新增"
"MF-049","P0","06_withdraw","提现","positive","查询客户端银行列表成功","client","/finance/payment/bank/list","已登录会员","正常会员","请求客户端银行列表","HTTP 200；status=true；data 包含 d、t、s","implemented","已通过 FAT 调试，可执行用例新增"
"MF-050","P0","07_related_data_check","以上相关数据检查","positive","查询代币明细成功","client","/promo/task/transaction","已登录会员","正常会员","请求代币明细","HTTP 200；status=true；data 包含 d、t、s","implemented","已通过 FAT 调试，可执行用例新增"
"MF-051","P0","07_related_data_check","以上相关数据检查","positive","查询游戏收藏列表成功","client","/member/fav/list","已登录会员","正常会员","请求游戏收藏列表","HTTP 200；status=true；data 包含 d、t、s","implemented","已通过 FAT 调试，可执行用例新增"
"MF-052","P0","02_kyc","KYC","positive","查询 eKYC 配置成功","client","/member/kyc/ekyc/info","已登录会员","正常会员","请求 eKYC 配置","HTTP 200；status=true；data 包含 state、signature_id","implemented","已通过 FAT 调试，可执行用例新增"
"MF-053","P0","07_related_data_check","以上相关数据检查","positive","查询代理审核结果成功","client","/member/agency/audit/results","已登录会员","正常会员","请求代理审核结果","HTTP 200；status=true；data 为对象","implemented","已通过 FAT 调试，可执行用例新增"
"MF-054","P0","07_related_data_check","以上相关数据检查","positive","查询代理申请问题列表成功","client","/member/agency/problem/list","已登录会员","正常会员","请求代理申请问题列表","HTTP 200；status=true；data 包含 problem1 到 problem4","implemented","已通过 FAT 调试，可执行用例新增"
