执行用例编号,总用例编号,用例名称,接口/流程,前置条件,数据集,输入变量,请求/步骤,预期/断言,就绪情况
ISOP-2037-C01-closure,ISOP-2037-C01,四列顺序,业务前置,需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。
ISOP-2037-C02-closure,ISOP-2037-C02,直接贡献金额及精度,业务前置,需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。
ISOP-2037-C03-closure,ISOP-2037-C03,厂商和未中奖空值,业务前置,需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。
ISOP-2037-C04-closure,ISOP-2037-C04,普通 GGR 不含 JP,业务前置,需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。
ISOP-2037-C05-closure,ISOP-2037-C05,四种单奖池,业务前置,需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。
ISOP-2037-C06-closure,ISOP-2037-C06,Multi 总额和弹窗,业务前置,需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。
ISOP-2037-C07-closure,ISOP-2037-C07,关闭及切换记录,业务前置,需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。
ISOP-2037-C08-closure,ISOP-2037-C08,明细访问隔离,业务前置,需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。
ISOP-2037-C09-closure,ISOP-2037-C09,类型与其他筛选组合,业务前置,需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。
ISOP-2037-C10-closure,ISOP-2037-C10,24栏 CSV,业务前置,需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。
ISOP-2037-C11-closure,ISOP-2037-C11,拆分后历史与实时,业务前置,需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需独立JP源数据与授权范围样本；CSV需实际导出文件及获取契约；UI由人工验证。
