path,bundle_referenced,documented,documented_methods,inventory_names,runtime_api_executed,http_status,business_status,classification,classification_basis
/admin/agency/child/bonus/list,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/child/ggr,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/commission/active/list,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/commission/audit/adjust,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/commission/audit/agree,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/commission/audit/list,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/commission/audit/reject,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/commission/pagcor/tax,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/commission/report,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/commission/venue/fee,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/domain/cutover,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/domain/delete,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/domain/insert,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/domain/list,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/domain/update,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/ladder,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/ladder/update,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/list,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/member/list,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/member/tags/update,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/taxrate/list,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/taxrate/update,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/vendorrate/list,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/vendorrate/update,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/banner/insert,YES,YES,POST,新增轮播图,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/banner/list,YES,YES,POST,轮播图列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/banner/menu,YES,YES,GET,轮播图菜单,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/banner/update,YES,YES,POST,轮播图修改,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/banner/update/state,YES,YES,POST,轮播图更新状态,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/banner/upload,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/banner/user/count,YES,YES,GET,名单数量-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/banner/user/list,YES,YES,GET,查看名单-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/bonus/activity/list,YES,YES,GET,活动列表 - felix.bru,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/bonus/export,YES,YES,GET,导出礼金列表 - felix,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/bonus/list,YES,YES,GET,礼金列表 - felix,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/bonus/manual/send,YES,YES,POST,手动发放礼金,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/bonus/review/approve,YES,YES,POST,批量审批 - felix.bru,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/bonus/review/export,YES,YES,GET,导出待审订单 - felix.bru,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/bonus/review/list,YES,YES,GET,待审订单列表 - felix.bru,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/bonus/review/noneed/export,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/bonus/review/noneed/list,YES,YES,GET,导出过审礼金列表 - felix.bru | 过审礼金列表 - felix.bru,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/bonus/review/send,YES,YES,POST,批量补发 - felix.bru,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/bonus/review/userinfo,YES,YES,GET,获取用户信息 - felix.bru,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/buriedPoint/delete,YES,YES,POST,删除埋点-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/buriedPoint/insert,YES,YES,POST,新增埋点-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/buriedPoint/list,YES,YES,GET,埋点列表-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/buriedPoint/update,YES,YES,POST,修改埋点-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/dict,YES,YES,GET,渠道字典 | 渠道过滤-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/exchangeRate/list,YES,YES,GET,渠道汇率列表-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/exchangeRate/update,YES,YES,POST,更新渠道汇率-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/export,YES,YES,POST,渠道列表导出-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/group/delete,YES,YES,POST,删除渠道分组-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/group/dict,YES,YES,GET,渠道分组字黄-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/group/insert,YES,YES,POST,新增渠道分组-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/group/list,YES,YES,GET,渠道分组列表-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/group/update,YES,YES,POST,更新渠道分组-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/insert,YES,YES,POST,新增渠道-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/list,YES,YES,POST,渠道列表-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/manage/delete,YES,YES,POST,删除渠道管理-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/manage/detail,YES,YES,GET,渠道管理详情-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/manage/dict,YES,YES,GET,渠道管理字典-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/manage/export,YES,YES,GET,渠道管理导出-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/manage/insert,YES,YES,POST,新增渠道管理-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/manage/list,YES,YES,GET,渠道管理列表-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/manage/update,YES,YES,POST,更新渠道管理-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/manage/update/group,YES,YES,POST,更新渠道管理分组-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/manage/update/state,YES,YES,POST,更新渠道管理状态-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/menus,YES,YES,GET,渠道菜单-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/promoData/consumption,YES,YES,GET,推广数据面板消耗详情-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/promoData/detail,YES,YES,GET,推广数据详细-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/promoData/list,YES,YES,GET,推广数据列表-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/promoData/logs,YES,YES,GET,推广数据日志-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/promoData/update,YES,YES,POST,更新推广数据-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/promoData/update/consumption,YES,YES,POST,更新推广数据面板消耗-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/promotion/deposit/insert,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/channel/promotion/deposit/list,YES,YES,GET,充值模版列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/promotion/deposit/update,YES,YES,POST,更新模版,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/promotion/domain/insert,YES,YES,POST,新增,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/promotion/domain/list,YES,YES,GET,列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/promotion/domain/share,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/channel/promotion/domain/update,YES,YES,POST,修改,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/channel/promotion/effect,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/channel/promotion/firstDeposit,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/channel/promotion/register,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/channel/promotion/satistic,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/channel/update,YES,YES,POST,编辑渠道-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/client/version/insert,YES,YES,POST,版本管理新增,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/client/version/list,YES,YES,GET,版本管理列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/client/version/update,YES,YES,POST,版本管理更新,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/dict/venues,YES,YES,GET,厂商名称字典,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/domain/export,YES,YES,POST,域名列表导出-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/domain/insert,YES,YES,POST,新增域名-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/domain/list,YES,YES,POST,域名列表 | 域名列表-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/domain/listForSelect,YES,YES,GET,域名选项列表-todo | 获取域名下拉列表-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/domain/menus,YES,YES,GET,域名菜单-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/domain/update,YES,YES,POST,编辑域名-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/filcoin/order/export,YES,YES,GET,代币商城订单导出-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/filcoin/order/list,YES,YES,GET,代币商城订单列表-todo,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/adjust/export,YES,YES,POST,手动上下分数据导出 - owen,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/adjust/import,YES,YES,POST,批量上下分,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/adjust/import/failure/list,YES,YES,GET,批量上下分失败列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/adjust/insert,YES,YES,POST,余额调整 | 添加手动上下分-wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/adjust/list,YES,YES,GET | POST,手动上下分列表-wesley | 系统调整,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/deposit/export,YES,YES,POST,充值记录导出-wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/deposit/list,YES,YES,POST,充值列表-wesley,YES,200,True,DOCUMENTED_REACHABLE,API probe succeeded; browser page trigger not yet observed
/admin/finance/deposit/manual/success,YES,YES,GET,充值补单-wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/deposit/risk/list,YES,YES,GET,充值列表-wesley,YES,200,True,DOCUMENTED_REACHABLE,API probe succeeded; browser page trigger not yet observed
/admin/finance/deposit/sync,YES,YES,POST,充值同步状态-wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/lazada/order/list,YES,YES,POST,lazada-订单列表-owen,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/lazada/send/sms,YES,YES,POST,lazada-重新发货-owen,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/member/wallet,YES,YES,GET,会员钱包 - wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/member/wallet/pwd/clear,YES,YES,GET,清空提款密码 -- ducky,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/Delete,YES,YES,GET,x-删除支付渠道-cold,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/bank/enable,YES,YES,POST,开启关闭按钮,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/bank/insert,YES,YES,POST,银行卡添加,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/bank/list,YES,YES,GET,银行卡列表,YES,200,True,DOCUMENTED_REACHABLE,API probe succeeded; browser page trigger not yet observed
/admin/finance/payment/bank/update,YES,YES,POST,银行卡编辑,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/channel/delete,YES,YES,GET,删除支付渠道通道,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/channel/insert,YES,YES,POST,添加支付渠道通道,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/channel/list,YES,YES,GET,支付渠道通道列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/channel/update,YES,YES,POST,更新支付渠道通道,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/deposit/channels,YES,YES,GET,支付渠道列表-cold,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/insert,YES,YES,POST,x-添加支付渠道-cold,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/list,YES,YES,GET,x-支付渠道列表-cold,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/platform/enable,YES,YES,POST,支付平台开关,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/platform/insert,YES,YES,POST,添加支付平台,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/platform/list,YES,YES,GET,支付平台列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/platform/update,YES,YES,POST,更新支付平台,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/update,YES,YES,POST,x-更新支付渠道-cold,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/payment/withdraw/channels,YES,YES,GET,提现渠道列表-cold,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/tokens/adjust,YES,YES,POST,代币上下分,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/tokens/transaction/export,YES,YES,GET,代币账变导出,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/tokens/transaction/list,YES,YES,GET,代币账变列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/transaction/list,YES,YES,POST,账变列表- wesley,YES,200,True,DOCUMENTED_REACHABLE,API probe succeeded; browser page trigger not yet observed
/admin/finance/transaction/types,YES,YES,GET,账变类型- wesley,YES,200,True,DOCUMENTED_REACHABLE,API probe succeeded; browser page trigger not yet observed
/admin/finance/turnover/add,YES,YES,POST,会员流水-增加,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/turnover/change/list,YES,YES,GET,会员流水-异动记录,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/turnover/change/types,YES,YES,GET,会员流水-异动记录-类型列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/turnover/clear,YES,YES,POST,会员流水-清零 | 会员流水清理-light,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/turnover/list,YES,YES,GET,会员流水明细,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/turnover/sub,YES,YES,POST,会员流水-扣减,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/withdraw/agree,YES,YES,POST,提现同意-wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/withdraw/alarm/count,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/finance/withdraw/batch/agree,YES,YES,POST,批量提现同意-cold,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/withdraw/batch/reject,YES,YES,POST,批量提现拒绝-cold,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/withdraw/export,YES,YES,POST,提现记录导出-wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/withdraw/fail,YES,YES,POST,出款失败-wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/withdraw/list,YES,YES,POST,提现列表-wesley,YES,200,True,DOCUMENTED_REACHABLE,API probe succeeded; browser page trigger not yet observed
/admin/finance/withdraw/reject,YES,YES,POST,提现拒绝-wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/withdraw/risk/audit/export,YES,YES,POST,提现审核列表导出,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/withdraw/risk/list,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/finance/withdraw/success,YES,YES,POST,出款成功-wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/withdraw/sync,YES,YES,POST,提现同步状态-wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/withdraws/limit/conf,YES,YES,POST,更新大量小額提款檢查配置,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/withdraws/limit/list,YES,YES,GET,大量小額提款檢查列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/finance/withdraws/limit/state,YES,YES,GET,更新大量小額提款檢查状态,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/dicttypetag/insert,YES,YES,POST,+添加 <类型标签>-owen,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/dicttypetag/list,YES,YES,POST,+获取 <类型标签> 列表-owen,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/dicttypetag/update/state,YES,YES,POST,+修改 <类型标签>-owen,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/dictweighttag/insert,YES,YES,POST,+添加 <权重标签>-owen,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/dictweighttag/list,YES,YES,POST,+获取 <权重标签> 列表-owen,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/dictweighttag/update/state,YES,YES,POST,+修改 <权重标签>-owen,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/downbox,YES,YES,GET,游戏下拉框-owen,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/freespins,YES,YES,GET,免费旋转游戏列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/import,YES,YES,POST,游戏导入,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/import/failed/list,YES,YES,GET,游戏导入失败列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/insert,YES,YES,POST,游戏新增,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/list,YES,YES,POST,游戏列表-owen,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/game/search,YES,YES,POST,+游戏列表查询-owen-aliang,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
